,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
7:00am-7:30am,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST
7:30am-8:30am,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST
8:00am-8:30am,MTH426:25 ,MSO201,TA202,MSO201,MTH426:25 ,MSO201,MTH426:25 
8:30am-9:00am,MSO201:25 ,MSO201,TA202,MSO201,MSO201:25 ,MSO201,MSO201:25 
9:00am-9:30am,MSO201:25 ,MTH426:25 ,MTH426:25 ,MTH426:25 ,MSO201:25 ,MTH426:25 ,MSO201:25 
9:30am-10:00am,CS220:25 ,MSO201:20 ,MSO201:20 ,MSO201:20 ,CS220:25 ,MSO201:20 ,CS220:25 
10:00am-10:30am,CS220:25 ,CS251,ESO207,ESO207,CS220:25 ,ESO207,CS220:25 
10:30am-11:00am,CS251:25 ,CS251,ESO207,ESO207,CS251:20 ,ESO207,CS251:25 
11:00am-11:30am,CS251:25 ,CS220:25 ,MSO201:25 ,CS220,CS220,CS220,CS251:25 
11:30am-12:00pm,TA202:25 ,CS251:25 ,CS220:25 ,CS220,CS220,CS220,TA202:25 
12:00pm-12:30pm,TA202:25 ,TA202:25 ,CS220:25 ,CS220:25 ,CS251:25 ,CS220:25 ,TA202:25 
12:30pm-1:00pm,ESO207:20 ,TA202:20 ,CS251:20 ,CS251:20 ,TA202:20 ,CS251:20 ,ESO207:20 
1:00pm-1:30pm,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH
1:30pm-2:00pm,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH
2:00pm-2:30pm,ESO207:25 ,CS251,CS251:25 ,CS220,TA202:25 ,TA202,ESO207:25 
2:30pm-3:00pm,ESO207:25 ,CS251,TA202:25 ,CS220,ESO207:25 ,TA202,ESO207:25 
3:00pm-3:30pm,ESO207:25 ,CS251,TA202:25 ,CS220,ESO207:25 ,TA202,ESO207:25 
3:30pm-4:00pm,ESO207:25 ,CS251,ESO207:25 ,CS220,ESO207:25 ,TA202,ESO207:25 
4:00pm-4:30pm,ESO207:6 ,ESO207:25 ,ESO207:25 ,TA202:25 ,ESO207:25 ,TA202,ESO207:11 
4:30pm-5:00pm,,ESO207:25 ,ESO207:20 ,ESO207:25 ,ESO207:10 ,TA202,
5:00pm-5:30pm,NC,ESO207:25 ,MTH426,ESO207:25 ,MTH426,TA202:20 ,
5-30pm-6:00pm,NC,ESO207:20 ,MTH426,ESO207:24 ,MTH426,NC,
6:00pm-6:30pm,,,MTH426,,MTH426,NC,NC
6:30pm-7:00pm,,,ESO207:25 ,NC,,ESO207:25 ,NC
7:00pm-7:30pm,,NC,ESO207:15 ,NC,,ESO207:25 ,NC
7:30pm-8:00pm,,NC,,,NC,ESO207:20 ,
8:00pm-8:30pm,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER
8:30pm-9:00pm,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER
9:00pm-9:30pm,,,,,NC,ESO207:4 ,
9:30pm-10:00pm,NC,,,NC,,,
10:00pm-10:30am,NC,,,NC,,,
10:30pm-11:00pm,,,,,,,
11:00pm-11:30pm,,,,,,,
11:30am-12:00am,,,,,,,
